,0
0,3362
1,3509
2,9897
3,9275
4,10805
5,4064
6,11517
7,6451
8,3460
9,6956
10,9826
11,10834
12,6347
13,6782
14,10247
15,13804
16,3309
17,2130
18,7415
19,6923
20,9388
21,2175
22,5044
23,292
24,7903
25,1848
26,13295
27,6114
28,3201
29,3446
30,2404
31,15339
32,3488
33,5591
34,5835
35,3624
36,8650
37,10139
38,9165
39,2775
40,8954
41,3507
42,2168
43,5277
44,13317
45,6986
46,6831
47,6488
48,11319
49,15344
50,10831
51,5480
52,9544
53,14496
54,8124
55,6036
56,6923
57,3195
58,2269
59,15070
60,4550
61,12377
62,6701
63,8949
64,10805
65,4339
66,8949
67,815
68,9445
69,1499
70,2482
71,5540
72,13262
73,14306
74,7085
75,2592
76,2209
77,6999
78,870
79,11867
80,10805
81,3682
82,1868
83,9573
84,6488
85,2364
86,14496
87,6928
88,11691
89,12225
90,11900
91,5473
92,5677
93,1550
94,5343
95,8508
96,8903
97,15328
98,10680
99,10341
100,4188
101,7478
102,1763
103,2594
104,7083
105,8637
106,12144
107,10680
108,12820
109,6829
110,13389
111,12377
112,1848
113,12058
114,13535
115,9187
116,3536
117,2297
118,3403
119,3339
120,1339
121,5492
122,15344
123,3490
124,13645
125,14157
126,595
127,12029
128,9030
129,7896
130,2353
131,11691
132,9210
133,6488
134,9026
135,4708
136,9698
137,290
138,1901
139,7659
140,6195
141,11520
142,3436
143,13160
144,7203
145,11030
146,12377
147,5343
148,8905
149,10933
150,4694
151,6190
152,4603
