,ID,Ref,MESH
0,AF086415.1,[24379026],Carcinoma
0,AF086415.1,[24379026],Nasopharyngeal Carcinoma
0,AF086415.1,[24379026],Nasopharyngeal Neoplasms
1,AK020791.1,[24205036],Heart Failure
2,AK023948,[19147577],"Carcinoma, Papillary"
2,AK023948,[19147577],Genetic Predisposition to Disease
2,AK023948,[19147577],Melanoma
2,AK023948,[19147577],Thyroid Neoplasms
3,AK028007.1,[24312245],"Disease Models, Animal"
3,AK028007.1,[24312245],Reperfusion Injury
4,AK036863.1,[24205036],Heart Failure
5,AK038798.1,[24205036],Heart Failure
7,AK044955.1,[24205036],Heart Failure
8,AK049728.1,[24205036],Heart Failure
9,AK054386.1,[24312245],"Disease Models, Animal"
9,AK054386.1,[24312245],Reperfusion Injury
10,AK056098.1,[24379026],Carcinoma
10,AK056098.1,[24379026],Nasopharyngeal Carcinoma
10,AK056098.1,[24379026],Nasopharyngeal Neoplasms
11,AK087277.1,[24312245],"Disease Models, Animal"
11,AK087277.1,[24312245],Reperfusion Injury
12,AK095147.1,[24379026],Carcinoma
12,AK095147.1,[24379026],Nasopharyngeal Carcinoma
12,AK095147.1,[24379026],Nasopharyngeal Neoplasms
13,AK137898.1,[24205036],Heart Failure
14,AK139328.1,"[24312245, 24312245]","Disease Models, Animal"
14,AK139328.1,"[24312245, 24312245]",Reperfusion Injury
15,AK139454.1,[24205036],Heart Failure
16,AK139989.1,[24205036],Heart Failure
17,AK143294.1,[24312245],"Disease Models, Animal"
17,AK143294.1,[24312245],Reperfusion Injury
18,AK143693.1,[24312245],"Disease Models, Animal"
18,AK143693.1,[24312245],Reperfusion Injury
19,AK144081.1,[24205036],Heart Failure
20,AK153778.1,[24205036],Heart Failure
21,AK209601.1,[24312245],"Disease Models, Animal"
21,AK209601.1,[24312245],Reperfusion Injury
22,AK294004.1,[24379026],Carcinoma
22,AK294004.1,[24379026],Nasopharyngeal Carcinoma
22,AK294004.1,[24379026],Nasopharyngeal Neoplasms
23,BC073902,[15930275],Prostatic Neoplasms
25,NR_001445,"[21098020, 20471949, 20976203, 21087998, 22377309, 22377309, 22377309, 22488152, 27034068]",Cardiomegaly
25,NR_001445,"[21098020, 20471949, 20976203, 21087998, 22377309, 22377309, 22377309, 22488152, 27034068]",Disease
25,NR_001445,"[21098020, 20471949, 20976203, 21087998, 22377309, 22377309, 22377309, 22488152, 27034068]",Neoplasms
25,NR_001445,"[21098020, 20471949, 20976203, 21087998, 22377309, 22377309, 22377309, 22488152, 27034068]","Cell Transformation, Neoplastic"
25,NR_001445,"[21098020, 20471949, 20976203, 21087998, 22377309, 22377309, 22377309, 22488152, 27034068]",Stomach Neoplasms
25,NR_001445,"[21098020, 20471949, 20976203, 21087998, 22377309, 22377309, 22377309, 22488152, 27034068]",Multiple Sclerosis
26,NR_001458,"[21296997, 27764782]","Leukemia, Lymphocytic, Chronic, B-Cell"
26,NR_001458,"[21296997, 27764782]",Brain Neoplasms
26,NR_001458,"[21296997, 27764782]",Glioma
27,NR_001534,[24603890],"Telangiectasia, Hereditary Hemorrhagic"
28,NR_001558,"[27439973, 25910082]",Disease Progression
28,NR_001558,"[27439973, 25910082]",Neoplasm Invasiveness
28,NR_001558,"[27439973, 25910082]",Neoplasm Metastasis
28,NR_001558,"[27439973, 25910082]",Stomach Neoplasms
28,NR_001558,"[27439973, 25910082]",Pancreatic Neoplasms
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Kidney Neoplasms
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Prostatic Neoplasms
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Urinary Bladder Neoplasms
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Breast Neoplasms
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]","Carcinoma, Hepatocellular"
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Liver Neoplasms
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Neoplasm Metastasis
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]","Cell Transformation, Neoplastic"
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Neoplasms
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]","Gonadal Dysgenesis, 46, XX"
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Klinefelter Syndrome
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Klinefelter Syndrome
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Oligospermia
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]","Neoplasms, Germ Cell and Embryonal"
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Seminoma
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Sex Chromosome Aberrations
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Testicular Neoplasms
