,TREE_NUMBER,DESCRIPTOR
8319,C01,Bacterial Infections and Mycoses
8320,C01.252,Bacterial Infections
8321,C01.252.100,Bacteremia
8322,C01.252.100.375,Hemorrhagic Septicemia
8323,C01.252.200,Central Nervous System Bacterial Infections
8324,C01.252.200.450,Lyme Neuroborreliosis
8325,C01.252.200.500,"Meningitis, Bacterial"
8326,C01.252.200.500.400,"Meningitis, Escherichia coli"
8327,C01.252.200.500.450,"Meningitis, Haemophilus"
8328,C01.252.200.500.500,"Meningitis, Listeria"
8329,C01.252.200.500.550,"Meningitis, Meningococcal"
8330,C01.252.200.500.550.800,Waterhouse-Friderichsen Syndrome
8331,C01.252.200.500.600,"Meningitis, Pneumococcal"
8332,C01.252.200.500.800,"Tuberculosis, Meningeal"
8333,C01.252.200.750,Neurosyphilis
8334,C01.252.300,"Endocarditis, Bacterial"
8335,C01.252.300.407,"Endocarditis, Subacute Bacterial"
8336,C01.252.354,"Eye Infections, Bacterial"
8337,C01.252.354.225,"Conjunctivitis, Bacterial"
8338,C01.252.354.225.250,"Conjunctivitis, Inclusion"
8339,C01.252.354.225.625,Ophthalmia Neonatorum
8340,C01.252.354.225.800,Trachoma
8341,C01.252.354.400,Hordeolum
8342,C01.252.354.450,"Keratoconjunctivitis, Infectious"
8343,C01.252.354.800,"Tuberculosis, Ocular"
8344,C01.252.354.900,"Uveitis, Suppurative"
8345,C01.252.354.900.675,Panophthalmitis
8346,C01.252.377,Fournier Gangrene
8347,C01.252.400,Gram-Negative Bacterial Infections
8348,C01.252.400.050,Aliivibrio Infections
8349,C01.252.400.054,Anaplasmataceae Infections
8350,C01.252.400.054.050,Anaplasmosis
8351,C01.252.400.054.160,Ehrlichiosis
8352,C01.252.400.054.160.400,Heartwater Disease
8353,C01.252.400.110,Bacteroidaceae Infections
8354,C01.252.400.110.109,Bacteroides Infections
8355,C01.252.400.126,Bartonellaceae Infections
8356,C01.252.400.126.100,Bartonella Infections
8357,C01.252.400.126.100.050,"Angiomatosis, Bacillary"
8358,C01.252.400.126.100.150,Cat-Scratch Disease
8359,C01.252.400.126.100.800,Trench Fever
8360,C01.252.400.143,Bordetella Infections
8361,C01.252.400.143.740,Whooping Cough
8362,C01.252.400.155,Borrelia Infections
8363,C01.252.400.155.569,Lyme Disease
8364,C01.252.400.155.569.200,Erythema Chronicum Migrans
8365,C01.252.400.155.569.600,Lyme Neuroborreliosis
8366,C01.252.400.155.569.800,Post-Lyme Disease Syndrome
8367,C01.252.400.155.644,Relapsing Fever
8368,C01.252.400.167,Brucellosis
8369,C01.252.400.167.322,"Brucellosis, Bovine"
8370,C01.252.400.170,Burkholderia Infections
8371,C01.252.400.170.400,Glanders
8372,C01.252.400.170.531,Melioidosis
8373,C01.252.400.177,Campylobacter Infections
8374,C01.252.400.200,Cat-Scratch Disease
8375,C01.252.400.210,Chlamydiaceae Infections
8376,C01.252.400.210.210,Chlamydia Infections
8377,C01.252.400.210.210.124,Chlamydial Pneumonia
8378,C01.252.400.210.210.250,"Conjunctivitis, Inclusion"
8379,C01.252.400.210.210.490,Lymphogranuloma Venereum
8380,C01.252.400.210.210.800,Trachoma
8381,C01.252.400.210.250,Chlamydophila Infections
8382,C01.252.400.210.250.299,Chlamydial Pneumonia
8383,C01.252.400.210.250.600,Psittacosis
8384,C01.252.400.245,Cytophagaceae Infections
8385,C01.252.400.260,Desulfovibrionaceae Infections
8386,C01.252.400.310,Enterobacteriaceae Infections
8387,C01.252.400.310.229,"Dysentery, Bacillary"
8388,C01.252.400.310.330,Escherichia coli Infections
8389,C01.252.400.310.330.500,"Meningitis, Escherichia coli"
8390,C01.252.400.310.416,Granuloma Inguinale
8391,C01.252.400.310.503,Klebsiella Infections
8392,C01.252.400.310.503.650,Rhinoscleroma
8393,C01.252.400.310.708,Proteus Infections
8394,C01.252.400.310.821,Salmonella Infections
8395,C01.252.400.310.821.438,Paratyphoid Fever
8396,C01.252.400.310.821.606,Salmonella Food Poisoning
8397,C01.252.400.310.821.706,"Salmonella Infections, Animal"
8398,C01.252.400.310.821.873,Typhoid Fever
8399,C01.252.400.310.850,Serratia Infections
8400,C01.252.400.310.980,Yersinia Infections
8401,C01.252.400.310.980.745,Plague
8402,C01.252.400.310.980.780,Yersinia pseudotuberculosis Infections
8403,C01.252.400.349,Flavobacteriaceae Infections
8404,C01.252.400.388,Fusobacteriaceae Infections
8405,C01.252.400.388.350,Fusobacterium Infections
8406,C01.252.400.388.350.400,"Gingivitis, Necrotizing Ulcerative"
8407,C01.252.400.388.350.700,Lemierre Syndrome
8408,C01.252.400.466,Helicobacter Infections
8409,C01.252.400.500,Legionellosis
8410,C01.252.400.500.501,Legionnaires' Disease
8411,C01.252.400.511,Leptospirosis
8412,C01.252.400.511.739,Weil Disease
8413,C01.252.400.560,Moraxellaceae Infections
8414,C01.252.400.560.022,Acinetobacter Infections
8415,C01.252.400.610,Mycoplasmatales Infections
8416,C01.252.400.610.610,Mycoplasma Infections
8417,C01.252.400.610.610.717,"Pleuropneumonia, Contagious"
8418,C01.252.400.610.610.760,"Pneumonia, Mycoplasma"
8419,C01.252.400.610.850,Ureaplasma Infections
8420,C01.252.400.625,Neisseriaceae Infections
8421,C01.252.400.625.391,Gonorrhea
8422,C01.252.400.625.391.658,Ophthalmia Neonatorum
8423,C01.252.400.625.549,Meningococcal Infections
8424,C01.252.400.625.549.449,"Meningitis, Meningococcal"
8425,C01.252.400.625.549.449.800,Waterhouse-Friderichsen Syndrome
8426,C01.252.400.700,Pasteurellaceae Infections
8427,C01.252.400.700.030,Actinobacillus Infections
8428,C01.252.400.700.030.178,Actinobacillosis
8429,C01.252.400.700.433,Haemophilus Infections
8430,C01.252.400.700.433.257,Chancroid
8431,C01.252.400.700.433.615,"Meningitis, Haemophilus"
8432,C01.252.400.700.662,Pasteurella Infections
8433,C01.252.400.700.662.297,Hemorrhagic Septicemia
8434,C01.252.400.700.675,"Pasteurellosis, Pneumonic"
8435,C01.252.400.719,Piscirickettsiaceae Infections
8436,C01.252.400.739,Pseudomonas Infections
8437,C01.252.400.755,Q Fever
8438,C01.252.400.771,Rat-Bite Fever
8439,C01.252.400.780,Rickettsiaceae Infections
8440,C01.252.400.780.600,"Pneumonia, Rickettsial"
8441,C01.252.400.780.790,Rickettsia Infections
8442,C01.252.400.780.790.750,Spotted Fever Group Rickettsiosis
8443,C01.252.400.780.790.750.250,Boutonneuse Fever
8444,C01.252.400.780.790.750.500,Rocky Mountain Spotted Fever
8445,C01.252.400.780.790.800,"Typhus, Endemic Flea-Borne"
8446,C01.252.400.780.790.805,"Typhus, Epidemic Louse-Borne"
8447,C01.252.400.780.850,Scrub Typhus
8448,C01.252.400.825,Tick-Borne Diseases
8449,C01.252.400.825.050,Anaplasmosis
8450,C01.252.400.825.200,Ehrlichiosis
8451,C01.252.400.825.300,Heartwater Disease
8452,C01.252.400.825.480,Lyme Disease
8453,C01.252.400.825.480.400,Erythema Chronicum Migrans
8454,C01.252.400.825.480.700,Lyme Neuroborreliosis
8455,C01.252.400.825.480.850,Post-Lyme Disease Syndrome
8456,C01.252.400.825.750,Relapsing Fever
8457,C01.252.400.825.887,Spotted Fever Group Rickettsiosis
8458,C01.252.400.825.887.250,Boutonneuse Fever
8459,C01.252.400.825.887.500,Rocky Mountain Spotted Fever
8460,C01.252.400.840,Treponemal Infections
8461,C01.252.400.840.558,Pinta
8462,C01.252.400.840.744,Syphilis
8463,C01.252.400.840.744.161,Chancre
8464,C01.252.400.840.744.456,Neurosyphilis
8465,C01.252.400.840.744.456.778,Tabes Dorsalis
8466,C01.252.400.840.744.657,"Syphilis, Cardiovascular"
8467,C01.252.400.840.744.725,"Syphilis, Congenital"
8468,C01.252.400.840.744.800,"Syphilis, Cutaneous"
8469,C01.252.400.840.744.871,"Syphilis, Latent"
8470,C01.252.400.840.892,Yaws
8471,C01.252.400.939,Tularemia
8472,C01.252.400.959,Vibrio Infections
8473,C01.252.400.959.347,Cholera
8474,C01.252.410,Gram-Positive Bacterial Infections
8475,C01.252.410.040,Actinomycetales Infections
8476,C01.252.410.040.137,Actinomycosis
8477,C01.252.410.040.137.262,"Actinomycosis, Cervicofacial"
8478,C01.252.410.040.137.631,Whipple Disease
8479,C01.252.410.040.246,Corynebacterium Infections
8480,C01.252.410.040.246.388,Diphtheria
