version,feature_key,model,hamming_mean,label_ranking_mean,micro_roc_mean,micro_auprc_mean,precision_mean,recall_mean,fscore_mean,accuracy_mean
v1,kmer_matrix_k4,ipcarf,0.1511,0.5316,0.5559,0.0827,0.182,0.5243,0.2587,0.0733
v1,kmer_matrix_k4,rf,0.1667,0.5415,0.5382,0.0643,0.1362,0.4695,0.2064,0.0564
v1,kmer_matrix_k4,rflda,0.1484,0.5484,0.5777,0.073,0.1672,0.5098,0.2388,0.0794
v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,ipcarf,0.1785,0.5156,0.5683,0.0699,0.1526,0.5712,0.237,0.0935
v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,rf,0.1458,0.5414,0.5682,0.0992,0.171,0.4997,0.2456,0.0763
v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,rflda,0.1434,0.5307,0.5825,0.0752,0.1781,0.5377,0.2554,0.082
v1,psednc_matrix,ipcarf,0.0484,0.8188,0.5322,0.0516,0.0,0.0,0.0,0.1812
v1,psednc_matrix,rf,0.127,0.5401,0.499,0.0549,0.1609,0.3724,0.211,0.0706
v1,psednc_matrix,rflda,0.128,0.5392,0.4932,0.0531,0.1505,0.3501,0.2017,0.0621
v1,rc_kmer_matrix_k4,ipcarf,0.1595,0.5464,0.5542,0.0707,0.1576,0.5237,0.2348,0.0906
v1,rc_kmer_matrix_k4,rf,0.1558,0.5168,0.5517,0.0652,0.1538,0.4995,0.2312,0.0539
v1,rc_kmer_matrix_k4,rflda,0.1249,0.5591,0.5501,0.0951,0.1861,0.427,0.2527,0.0762
v2,kmer_matrix_k4,ipcarf,0.1784,0.7183,0.5058,0.0176,0.0374,0.3842,0.0678,0.0113
v2,kmer_matrix_k4,rf,0.1086,0.4648,0.7923,0.1003,0.0755,0.5047,0.1308,0.0112
v2,kmer_matrix_k4,rflda,0.1465,0.7271,0.5116,0.0177,0.0446,0.3856,0.0792,0.012
v2,psednc_matrix,ipcarf,0.0197,0.9621,0.8392,0.0966,0.0071,0.0068,0.0069,0.0093
v2,psednc_matrix,rf,0.0918,0.5567,0.7837,0.0915,0.0723,0.3803,0.1189,0.0125
v2,psednc_matrix,rflda,0.109,0.5328,0.7454,0.0721,0.0651,0.407,0.1099,0.0122
v2,rc_kmer_matrix_k4,ipcarf,0.1618,0.7573,0.4901,0.0159,0.0331,0.3175,0.0594,0.0093
v2,rc_kmer_matrix_k4,rf,0.1138,0.4748,0.7918,0.099,0.0713,0.5048,0.1245,0.0071
v2,rc_kmer_matrix_k4,rflda,0.1471,0.723,0.5194,0.0188,0.0462,0.3962,0.0823,0.0115
