experiment,train_dataset,test_dataset,evaluation,feature_set,model,n_labels,n_train_samples,n_test_samples,label_match,leakage,performance_csv,hamming_mean,hamming_std,label_ranking_mean,label_ranking_std,micro_roc_mean,micro_roc_std,micro_auprc_mean,micro_auprc_std,precision_mean,precision_std,recall_mean,recall_std,fscore_mean,fscore_std,accuracy_mean,accuracy_std
v1_to_v2_transfer,v1,v2,cross_version_transfer,kmer_matrix_k4,ipcarf,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4_ipcarf_v1_to_v2_transfer_performance.csv,0.1684339231702394,0.0216868475361509,0.2659328490175754,0.0163910617318587,0.7057395775501647,0.014245267438053,0.0433180500477904,0.0080893722185976,0.0436839670164573,0.0056273047433641,0.4978318706871992,0.0498245105547496,0.0801902524811352,0.009658719682232,0.1183801587843181,0.0243159527655633
v1_to_v2_transfer,v1,v2,cross_version_transfer,kmer_matrix_k4,rf,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4_rf_v1_to_v2_transfer_performance.csv,0.157445806184049,0.021889484507822,0.2528524071251701,0.0153133842677141,0.7246477738546647,0.0095988442345513,0.0431108424398507,0.0047606937966493,0.0451549637963392,0.0070875096650082,0.4759138319447861,0.0327647857004386,0.0823620344219804,0.0120082257880335,0.078300430075568,0.0170431441114338
v1_to_v2_transfer,v1,v2,cross_version_transfer,kmer_matrix_k4,rflda,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4_rflda_v1_to_v2_transfer_performance.csv,0.1300527119753504,0.026679424894552,0.2408405027968639,0.0414196967553935,0.7176548614945115,0.0102138717991873,0.0397816244177548,0.0036744158510776,0.0528036917410597,0.0077603498747141,0.4608142497702419,0.1065102184252896,0.0943088029755247,0.0133606182125721,0.0564699682826281,0.033865598407869
v1_to_v2_transfer,v1,v2,cross_version_transfer,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,ipcarf,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_ipcarf_v1_to_v2_transfer_performance.csv,0.146991511153158,0.0218564559921124,0.2475514164179887,0.0239799681760859,0.7118245905061821,0.0144468611826647,0.0483033105680054,0.0052101305022189,0.0506118966377941,0.0090902891347259,0.5000164261099427,0.0698570285778437,0.0917029946963272,0.0153655546354525,0.0867480424629771,0.0381945440129941
v1_to_v2_transfer,v1,v2,cross_version_transfer,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rf,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rf_v1_to_v2_transfer_performance.csv,0.1660132259036469,0.0183124515711514,0.2455526272483312,0.0272792447073258,0.7262327083327772,0.0109987848816127,0.0431591910752508,0.0048849944986964,0.0446596793809545,0.0060934164839514,0.5070820689719306,0.0822063772162963,0.0820084661392427,0.0110975519584948,0.0706419293594552,0.0172295471266117
v1_to_v2_transfer,v1,v2,cross_version_transfer,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rflda,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rflda_v1_to_v2_transfer_performance.csv,0.1300527119753504,0.026679424894552,0.2408405027968639,0.0414196967553935,0.7176548614945115,0.0102138717991873,0.0397816244177548,0.0036744158510776,0.0528036917410597,0.0077603498747141,0.4608142497702419,0.1065102184252896,0.0943088029755247,0.0133606182125721,0.0564699682826281,0.033865598407869
v1_to_v2_transfer,v1,v2,cross_version_transfer,psednc_matrix,ipcarf,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/psednc_matrix_ipcarf_v1_to_v2_transfer_performance.csv,0.0343396850032585,0.0036817250862874,0.3609676539631831,0.0321064075027319,0.5560720817114811,0.0195032382090247,0.0206774702604704,0.003706802330664,0.0658122121947259,0.0235328511763838,0.1108922039161569,0.0574043311151812,0.0817782187028307,0.0346941270486621,0.3453860736738647,0.0423122101083979
v1_to_v2_transfer,v1,v2,cross_version_transfer,psednc_matrix,rf,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/psednc_matrix_rf_v1_to_v2_transfer_performance.csv,0.0343154704477939,0.0036702859578997,0.3609676539631831,0.0321064075027319,0.5560729435635876,0.0195020299668758,0.0206241530099102,0.0036954310318023,0.0658913220474788,0.0235981714292634,0.1108922039161569,0.0574043311151812,0.0818439545251009,0.0347475606826291,0.345631773919565,0.0423247331675749
v1_to_v2_transfer,v1,v2,cross_version_transfer,psednc_matrix,rflda,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/psednc_matrix_rflda_v1_to_v2_transfer_performance.csv,0.0343154704477939,0.0036702859578997,0.3609676539631831,0.0321064075027319,0.5560732356932896,0.0195008317925591,0.020621427827697,0.0036966352941802,0.0658913220474788,0.0235981714292634,0.1108922039161569,0.0574043311151812,0.0818439545251009,0.0347475606826291,0.345631773919565,0.0423247331675749
v1_to_v2_transfer,v1,v2,cross_version_transfer,rc_kmer_matrix_k4,ipcarf,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/rc_kmer_matrix_k4_ipcarf_v1_to_v2_transfer_performance.csv,0.1575437118784768,0.0251300506548805,0.2461871644099282,0.0175316988135684,0.7198979779990106,0.0153615371547984,0.0691165563764456,0.010162800308413,0.0488237335363678,0.0085352121992202,0.51597624799581,0.0509772305850576,0.0890200784154206,0.0145432387110563,0.0733759495554488,0.0268860795342699
v1_to_v2_transfer,v1,v2,cross_version_transfer,rc_kmer_matrix_k4,rf,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/rc_kmer_matrix_k4_rf_v1_to_v2_transfer_performance.csv,0.1188932585071029,0.0179517210012984,0.2413273885979533,0.0344755571417065,0.719431587953494,0.0105369673696702,0.0410816828513794,0.0043309724357867,0.056927401004793,0.0079424164010884,0.4519639782224408,0.0681599159160507,0.1007763100957508,0.0127903609421683,0.0484153185938419,0.0348228317172091
v1_to_v2_transfer,v1,v2,cross_version_transfer,rc_kmer_matrix_k4,rflda,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/rc_kmer_matrix_k4_rflda_v1_to_v2_transfer_performance.csv,0.0969934080576495,0.0205897667567979,0.2351958466823089,0.0317987535648432,0.7098700730903127,0.0178940834488474,0.0392273313160392,0.0044153850442497,0.0689499059555728,0.0124557874219105,0.4360720044833284,0.0879917586226649,0.1177845138009798,0.0169107795888132,0.0619612408606553,0.0273487605682366
