feature_set,model,metric,V1->V1,V2->V2,V1->V2,V2->V1
kmer_matrix_k4,ipcarf,accuracy,0.0141,0.0093,0.1184,0.2585
kmer_matrix_k4,rf,accuracy,0.0113,0.0081,0.0783,0.1898
kmer_matrix_k4,rflda,accuracy,0.0056,0.0078,0.0565,0.1699
kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,ipcarf,accuracy,0.017,0.0078,0.0867,0.2557
kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rf,accuracy,0.0313,0.0066,0.0706,0.2412
kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rflda,accuracy,0.0085,0.0081,0.0565,0.1699
psednc_matrix,ipcarf,accuracy,0.0311,0.0238,0.3454,0.4129
psednc_matrix,rf,accuracy,0.0311,0.0257,0.3456,0.4128
psednc_matrix,rflda,accuracy,0.0311,0.0262,0.3456,0.396
rc_kmer_matrix_k4,ipcarf,accuracy,0.0084,0.0076,0.0734,0.1898
rc_kmer_matrix_k4,rf,accuracy,0.0029,0.0071,0.0484,0.1964
rc_kmer_matrix_k4,rflda,accuracy,0.0171,0.0076,0.062,0.1761
kmer_matrix_k4,ipcarf,fscore,0.235,0.1216,0.0802,0.2552
kmer_matrix_k4,rf,fscore,0.23,0.1222,0.0824,0.2246
kmer_matrix_k4,rflda,fscore,0.2249,0.126,0.0943,0.2065
kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,ipcarf,fscore,0.2393,0.1208,0.0917,0.2412
kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rf,fscore,0.241,0.1278,0.082,0.2423
kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rflda,fscore,0.2218,0.128,0.0943,0.2065
psednc_matrix,ipcarf,fscore,0.2175,0.1366,0.0818,0.1316
psednc_matrix,rf,fscore,0.2176,0.1397,0.0818,0.1332
psednc_matrix,rflda,fscore,0.2171,0.1393,0.0818,0.132
rc_kmer_matrix_k4,ipcarf,fscore,0.2376,0.1195,0.089,0.2378
rc_kmer_matrix_k4,rf,fscore,0.2268,0.1297,0.1008,0.2204
rc_kmer_matrix_k4,rflda,fscore,0.2437,0.129,0.1178,0.2235
