folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.19425837320574163,0.22206545447109852,0.717228949242823,0.03943867762841539,0.04152671755725191,0.5551020408163265,0.07727272727272727,0.03827751196172249
fold2,0.1480392156862745,0.2921523917143512,0.7147513412096034,0.040222319700288764,0.039746300211416494,0.39330543933054396,0.07219662058371736,0.08823529411764706
fold3,0.15202702702702703,0.27173037433249964,0.7099297589675411,0.037629282716809,0.03763440860215054,0.3807531380753138,0.06849830636055702,0.09090909090909091
fold4,0.15282555282555282,0.2112323106115942,0.7240149685818495,0.042842505918071996,0.054011119936457505,0.5619834710743802,0.09855072463768116,0.07616707616707617
fold5,0.15073710073710073,0.25100193407113325,0.7345457920874137,0.04206371999283161,0.05062778452814905,0.5319148936170213,0.09245562130177515,0.07862407862407862
fold6,0.19563882063882063,0.20681493712087712,0.7308533245937593,0.04268113582225901,0.047926267281105994,0.6446280991735537,0.08921933085501858,0.0687960687960688
fold7,0.14692028985507247,0.24835558950375247,0.7344514026913428,0.04736499249086981,0.04473902236951118,0.4595744680851064,0.08154020385050963,0.06763285024154589
fold8,0.1608108108108108,0.264982007199307,0.748473209867961,0.05580095343486747,0.04763719512195122,0.5122950819672131,0.08716875871687588,0.09090909090909091
fold9,0.17936117936117937,0.22200967600843388,0.7183880109622083,0.04293948857317677,0.04924114671163575,0.5910931174089069,0.09090909090909091,0.04668304668304668
fold10,0.1795138888888889,0.26518159745026487,0.7296903251232713,0.040608834474918684,0.03350683148991542,0.44017094017094016,0.062273276904474005,0.06018518518518518
mean(std),0.16601322590364692(0.01831245157115148),0.2455526272483312(0.02727924470732587),0.7262327083327772(0.010998784881612725),0.04315919107525085(0.004884994498696441),0.044659679380954505(0.006093416483951412),0.5070820689719306(0.0822063772162963),0.0820084661392427(0.011097551958494831),0.07064192935945528(0.017229547126611743)
