folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.11297846889952153,0.23471554480254272,0.7085465299928773,0.0359765339738267,0.055675675675675676,0.4204081632653061,0.09832935560859188,0.03827751196172249
fold2,0.13229166666666667,0.29242967966862354,0.718289131980645,0.039929965825536526,0.04066985645933014,0.35564853556485354,0.072992700729927,0.022058823529411766
fold3,0.08255528255528255,0.2454685940896718,0.7068392213571969,0.037367193516027734,0.0707070707070707,0.3807531380753138,0.11926605504587157,0.12776412776412777
fold4,0.1300982800982801,0.1948722417492623,0.7235386978652972,0.041690972001184184,0.0625,0.5537190082644629,0.11232187761944677,0.03931203931203931
fold5,0.09115479115479115,0.2769221722807197,0.7086770585388171,0.03697444706121171,0.06113843991567112,0.3702127659574468,0.10494571773220748,0.08353808353808354
fold6,0.12156019656019657,0.19159184346093222,0.7171232784945673,0.04127141368296392,0.06466165413533835,0.5330578512396694,0.11533303531515422,0.07125307125307126
fold7,0.12693236714975845,0.21956263559947292,0.7164441693004464,0.042398100503776036,0.05484024797329518,0.48936170212765956,0.09862778730703259,0.014492753623188406
fold8,0.1437960687960688,0.2507763235498044,0.7369107264801738,0.049832652782849554,0.05325948018747337,0.5122950819672131,0.09648784253184099,0.05405405405405406
fold9,0.12893120393120394,0.2885165952275614,0.7190357135371859,0.047464734172304845,0.0500485908649174,0.41700404858299595,0.0893709327548807,0.0171990171990172
fold10,0.11863425925925926,0.21841825555094282,0.7389113519877335,0.03791081499411314,0.05577299412915851,0.48717948717948717,0.10008779631255488,0.016203703703703703
mean(std),0.1188932585071029(0.01795172100129846),0.24132738859795339(0.03447555714170657),0.719431587953494(0.010536967369670228),0.041081682851379434(0.004330972435786701),0.05692740100479304(0.007942416401088401),0.45196397822244083(0.06815991591605075),0.1007763100957508(0.012790360942168323),0.04841531859384195(0.03482283171720914)
