experiment,source_version,target_version,feature_key,feature_set,domains,model,label_space,label_match,min_positives,keep_rule,n_source_samples,n_target_samples,n_labels,performance_csv,hamming_meanstd,hamming_mean,hamming_std,label_ranking_meanstd,label_ranking_mean,label_ranking_std,micro_roc_meanstd,micro_roc_mean,micro_roc_std,micro_auprc_meanstd,micro_auprc_mean,micro_auprc_std,precision_meanstd,precision_mean,precision_std,recall_meanstd,recall_mean,recall_std,fscore_meanstd,fscore_mean,fscore_std,accuracy_meanstd,accuracy_mean,accuracy_std
v1_to_v2_transfer,v1,v2,kmer_matrix_k4,kmer_matrix_k4,rna,ipcarf,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4_ipcarf_v1_to_v2_transfer_performance.csv,0.16843392317023947(0.02168684753615098),0.1684339231702394,0.0216868475361509,0.26593284901757547(0.016391061731858714),0.2659328490175754,0.0163910617318587,0.7057395775501647(0.014245267438053023),0.7057395775501647,0.014245267438053,0.04331805004779043(0.00808937221859763),0.0433180500477904,0.0080893722185976,0.04368396701645736(0.005627304743364159),0.0436839670164573,0.0056273047433641,0.49783187068719925(0.04982451055474964),0.4978318706871992,0.0498245105547496,0.08019025248113529(0.009658719682232053),0.0801902524811352,0.009658719682232,0.11838015878431815(0.024315952765563382),0.1183801587843181,0.0243159527655633
v1_to_v2_transfer,v1,v2,kmer_matrix_k4,kmer_matrix_k4,rna,rf,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4_rf_v1_to_v2_transfer_performance.csv,0.15744580618404905(0.021889484507822073),0.157445806184049,0.021889484507822,0.25285240712517015(0.015313384267714107),0.2528524071251701,0.0153133842677141,0.7246477738546647(0.009598844234551367),0.7246477738546647,0.0095988442345513,0.04311084243985077(0.004760693796649377),0.0431108424398507,0.0047606937966493,0.04515496379633928(0.007087509665008278),0.0451549637963392,0.0070875096650082,0.4759138319447861(0.032764785700438614),0.4759138319447861,0.0327647857004386,0.08236203442198044(0.012008225788033514),0.0823620344219804,0.0120082257880335,0.07830043007556806(0.017043144111433876),0.078300430075568,0.0170431441114338
v1_to_v2_transfer,v1,v2,kmer_matrix_k4,kmer_matrix_k4,rna,rflda,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4_rflda_v1_to_v2_transfer_performance.csv,0.13005271197535045(0.026679424894552068),0.1300527119753504,0.026679424894552,0.24084050279686392(0.041419696755393566),0.2408405027968639,0.0414196967553935,0.7176548614945115(0.010213871799187353),0.7176548614945115,0.0102138717991873,0.03978162441775487(0.0036744158510776943),0.0397816244177548,0.0036744158510776,0.05280369174105971(0.007760349874714137),0.0528036917410597,0.0077603498747141,0.4608142497702419(0.10651021842528968),0.4608142497702419,0.1065102184252896,0.09430880297552478(0.013360618212572171),0.0943088029755247,0.0133606182125721,0.056469968282628125(0.03386559840786901),0.0564699682826281,0.033865598407869
v1_to_v2_transfer,v1,v2,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,ipcarf,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_ipcarf_v1_to_v2_transfer_performance.csv,0.14699151115315806(0.02185645599211247),0.146991511153158,0.0218564559921124,0.24755141641798878(0.02397996817608596),0.2475514164179887,0.0239799681760859,0.7118245905061821(0.014446861182664758),0.7118245905061821,0.0144468611826647,0.048303310568005416(0.005210130502218944),0.0483033105680054,0.0052101305022189,0.050611896637794106(0.009090289134725925),0.0506118966377941,0.0090902891347259,0.5000164261099427(0.06985702857784379),0.5000164261099427,0.0698570285778437,0.09170299469632726(0.015365554635452527),0.0917029946963272,0.0153655546354525,0.08674804246297717(0.03819454401299419),0.0867480424629771,0.0381945440129941
v1_to_v2_transfer,v1,v2,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,rf,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rf_v1_to_v2_transfer_performance.csv,0.16601322590364692(0.01831245157115148),0.1660132259036469,0.0183124515711514,0.2455526272483312(0.02727924470732587),0.2455526272483312,0.0272792447073258,0.7262327083327772(0.010998784881612725),0.7262327083327772,0.0109987848816127,0.04315919107525085(0.004884994498696441),0.0431591910752508,0.0048849944986964,0.044659679380954505(0.006093416483951412),0.0446596793809545,0.0060934164839514,0.5070820689719306(0.0822063772162963),0.5070820689719306,0.0822063772162963,0.0820084661392427(0.011097551958494831),0.0820084661392427,0.0110975519584948,0.07064192935945528(0.017229547126611743),0.0706419293594552,0.0172295471266117
v1_to_v2_transfer,v1,v2,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,rflda,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rflda_v1_to_v2_transfer_performance.csv,0.13005271197535045(0.026679424894552068),0.1300527119753504,0.026679424894552,0.24084050279686392(0.041419696755393566),0.2408405027968639,0.0414196967553935,0.7176548614945115(0.010213871799187353),0.7176548614945115,0.0102138717991873,0.03978162441775487(0.0036744158510776943),0.0397816244177548,0.0036744158510776,0.05280369174105971(0.007760349874714137),0.0528036917410597,0.0077603498747141,0.4608142497702419(0.10651021842528968),0.4608142497702419,0.1065102184252896,0.09430880297552478(0.013360618212572171),0.0943088029755247,0.0133606182125721,0.056469968282628125(0.03386559840786901),0.0564699682826281,0.033865598407869
v1_to_v2_transfer,v1,v2,psednc_matrix,psednc_matrix,rna,ipcarf,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/psednc_matrix_ipcarf_v1_to_v2_transfer_performance.csv,0.0343396850032585(0.0036817250862874996),0.0343396850032585,0.0036817250862874,0.3609676539631831(0.0321064075027319),0.3609676539631831,0.0321064075027319,0.5560720817114811(0.019503238209024727),0.5560720817114811,0.0195032382090247,0.020677470260470485(0.0037068023306640672),0.0206774702604704,0.003706802330664,0.06581221219472597(0.023532851176383852),0.0658122121947259,0.0235328511763838,0.11089220391615692(0.05740433111518124),0.1108922039161569,0.0574043311151812,0.08177821870283074(0.03469412704866215),0.0817782187028307,0.0346941270486621,0.34538607367386476(0.042312210108397925),0.3453860736738647,0.0423122101083979
v1_to_v2_transfer,v1,v2,psednc_matrix,psednc_matrix,rna,rf,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/psednc_matrix_rf_v1_to_v2_transfer_performance.csv,0.03431547044779394(0.003670285957899754),0.0343154704477939,0.0036702859578997,0.3609676539631831(0.0321064075027319),0.3609676539631831,0.0321064075027319,0.5560729435635876(0.019502029966875827),0.5560729435635876,0.0195020299668758,0.020624153009910218(0.003695431031802338),0.0206241530099102,0.0036954310318023,0.06589132204747886(0.023598171429263463),0.0658913220474788,0.0235981714292634,0.11089220391615692(0.05740433111518124),0.1108922039161569,0.0574043311151812,0.08184395452510099(0.034747560682629186),0.0818439545251009,0.0347475606826291,0.345631773919565(0.04232473316757493),0.345631773919565,0.0423247331675749
v1_to_v2_transfer,v1,v2,psednc_matrix,psednc_matrix,rna,rflda,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/psednc_matrix_rflda_v1_to_v2_transfer_performance.csv,0.03431547044779394(0.003670285957899754),0.0343154704477939,0.0036702859578997,0.3609676539631831(0.0321064075027319),0.3609676539631831,0.0321064075027319,0.5560732356932896(0.019500831792559153),0.5560732356932896,0.0195008317925591,0.020621427827697075(0.003696635294180222),0.020621427827697,0.0036966352941802,0.06589132204747886(0.023598171429263463),0.0658913220474788,0.0235981714292634,0.11089220391615692(0.05740433111518124),0.1108922039161569,0.0574043311151812,0.08184395452510099(0.034747560682629186),0.0818439545251009,0.0347475606826291,0.345631773919565(0.04232473316757493),0.345631773919565,0.0423247331675749
v1_to_v2_transfer,v1,v2,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rna,ipcarf,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/rc_kmer_matrix_k4_ipcarf_v1_to_v2_transfer_performance.csv,0.15754371187847682(0.025130050654880557),0.1575437118784768,0.0251300506548805,0.24618716440992827(0.017531698813568423),0.2461871644099282,0.0175316988135684,0.7198979779990106(0.015361537154798446),0.7198979779990106,0.0153615371547984,0.06911655637644568(0.010162800308413008),0.0691165563764456,0.010162800308413,0.048823733536367854(0.008535212199220262),0.0488237335363678,0.0085352121992202,0.51597624799581(0.05097723058505766),0.51597624799581,0.0509772305850576,0.08902007841542067(0.014543238711056368),0.0890200784154206,0.0145432387110563,0.07337594955544881(0.02688607953426992),0.0733759495554488,0.0268860795342699
