folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.030714285714285715,0.29455782312925166,0.6107220949604332,0.05133711171942934,0.2222222222222222,0.21428571428571427,0.21818181818181817,0.42857142857142855
fold2,0.03142857142857143,0.30476190476190473,0.6032458107929806,0.06765986538713811,0.13333333333333333,0.18181818181818182,0.15384615384615385,0.11428571428571428
fold3,0.04928571428571429,0.16433318266577884,0.6974993930565672,0.09274520428250066,0.2,0.5185185185185185,0.28865979381443296,0.14285714285714285
fold4,0.023571428571428573,0.2793040293040293,0.5917908456877168,0.07124539870812575,0.15,0.15789473684210525,0.15384615384615385,0.37142857142857144
fold5,0.059027777777777776,0.20554899940864851,0.6808534993933011,0.08400701772009557,0.17857142857142858,0.4838709677419355,0.2608695652173913,0.1388888888888889
fold6,0.043055555555555555,0.1066376768131154,0.7849179599244416,0.0752039054036027,0.18840579710144928,0.6842105263157895,0.29545454545454547,0.05555555555555555
fold7,0.02642857142857143,0.17216117216117216,0.741344328817331,0.022475965822319463,0.06666666666666667,0.18181818181818182,0.0975609756097561,0.42857142857142855
fold8,0.07222222222222222,0.20263532763532763,0.6465879198704978,0.05144219828985811,0.12,0.42857142857142855,0.1875,0.05555555555555555
fold9,0.05785714285714286,0.18825549450549453,0.7112895377128954,0.0528019304738834,0.20689655172413793,0.6,0.3076923076923077,0.02857142857142857
fold10,0.05857142857142857,0.20984742074967636,0.6896865889212828,0.06172054046284345,0.1625,0.4642857142857143,0.24074074074074073,0.2
mean(std),0.045216269841269835(0.015815641471298342),0.21280430311343995(0.05966753968607247),0.6757937979137447(0.05963359935237621),0.06306391382697965(0.018926457941533026),0.16285959996192384(0.044575080339623166),0.3915273970197569(0.18286582437598572),0.22043520544033002(0.06708176756409104),0.19642857142857142(0.14805842190262697)
