experiment,source_version,target_version,feature_key,feature_set,domains,model,label_space,label_match,min_positives,keep_rule,n_source_samples,n_target_samples,n_labels,performance_csv,hamming_meanstd,hamming_mean,hamming_std,label_ranking_meanstd,label_ranking_mean,label_ranking_std,micro_roc_meanstd,micro_roc_mean,micro_roc_std,micro_auprc_meanstd,micro_auprc_mean,micro_auprc_std,precision_meanstd,precision_mean,precision_std,recall_meanstd,recall_mean,recall_std,fscore_meanstd,fscore_mean,fscore_std,accuracy_meanstd,accuracy_mean,accuracy_std
v1_common_cv,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_ipcarf_v1_common_cv_performance.csv,0.04916865079365079(0.010293319016877888),0.04916865079365079,0.010293319016877888,0.19823603644628515(0.04520770345387495),0.19823603644628515,0.04520770345387495,0.6850517292321657(0.06822655279204606),0.6850517292321657,0.06822655279204606,0.0490651171908013(0.02184395229853788),0.0490651171908013,0.02184395229853788,0.16095648157397408(0.03046406667549838),0.16095648157397408,0.03046406667549838,0.46614828861008817(0.14762948326164294),0.46614828861008817,0.14762948326164294,0.23516338393434402(0.04819335913188899),0.23516338393434402,0.04819335913188899,0.28626984126984134(0.06079390981750945),0.28626984126984134,0.06079390981750945
v1_common_cv,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rf_v1_common_cv_performance.csv,0.04588888888888888(0.021053628927225135),0.04588888888888888,0.021053628927225135,0.2104465406982269(0.04731147428107611),0.2104465406982269,0.04731147428107611,0.6621824548410538(0.10126179143659114),0.6621824548410538,0.10126179143659114,0.04650574822023975(0.02417332130746953),0.04650574822023975,0.02417332130746953,0.16724936025206577(0.06023232687632498),0.16724936025206577,0.06023232687632498,0.38557221907816136(0.18824633919887962),0.38557221907816136,0.18824633919887962,0.21866805071958834(0.06389790323878063),0.21866805071958834,0.06389790323878063,0.27706349206349207(0.11137183130063112),0.27706349206349207,0.11137183130063112
v1_common_cv,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rflda_v1_common_cv_performance.csv,0.05025992063492064(0.016796950276173558),0.05025992063492064,0.016796950276173558,0.1991430662636941(0.037391123705478375),0.1991430662636941,0.037391123705478375,0.6857789321559413(0.0816704434070199),0.6857789321559413,0.0816704434070199,0.047443676788621936(0.021506569842663473),0.047443676788621936,0.021506569842663473,0.1545007556018948(0.031897237322207346),0.1545007556018948,0.031897237322207346,0.4371839626763226(0.16193546771294018),0.4371839626763226,0.16193546771294018,0.22544270553285267(0.05255630564917108),0.22544270553285267,0.05255630564917108,0.2319047619047619(0.08539830057143286),0.2319047619047619,0.08539830057143286
v1_common_cv,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_ipcarf_v1_common_cv_performance.csv,0.053698412698412704(0.021174374493065612),0.053698412698412704,0.021174374493065612,0.19094364451544743(0.04906149642940231),0.19094364451544743,0.04906149642940231,0.6866804321126792(0.058057657016358524),0.6866804321126792,0.058057657016358524,0.04011005027701865(0.016943171751608078),0.04011005027701865,0.016943171751608078,0.16251315812692874(0.046018143497074206),0.16251315812692874,0.046018143497074206,0.47307532434866895(0.19318718677159025),0.47307532434866895,0.19318718677159025,0.23135767476242736(0.05137937263597629),0.23135767476242736,0.05137937263597629,0.26087301587301587(0.12432536516042338),0.26087301587301587,0.12432536516042338
v1_common_cv,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rf_v1_common_cv_performance.csv,0.05336706349206349(0.025063548373555768),0.05336706349206349,0.025063548373555768,0.1891180462915522(0.048270834847024366),0.1891180462915522,0.048270834847024366,0.6762075617758061(0.10004503947960129),0.6762075617758061,0.10004503947960129,0.045594573607204085(0.020902041020045007),0.045594573607204085,0.020902041020045007,0.15768561138094142(0.05005823114872938),0.15768561138094142,0.05005823114872938,0.45054848754339416(0.20426193330939557),0.45054848754339416,0.20426193330939557,0.2188986558952582(0.059477012009507585),0.2188986558952582,0.059477012009507585,0.289047619047619(0.0977407938713213),0.289047619047619,0.0977407938713213
v1_common_cv,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rflda_v1_common_cv_performance.csv,0.05025992063492064(0.016796950276173558),0.05025992063492064,0.016796950276173558,0.1991430662636941(0.037391123705478375),0.1991430662636941,0.037391123705478375,0.6857789321559413(0.0816704434070199),0.6857789321559413,0.0816704434070199,0.047443676788621936(0.021506569842663473),0.047443676788621936,0.021506569842663473,0.1545007556018948(0.031897237322207346),0.1545007556018948,0.031897237322207346,0.4371839626763226(0.16193546771294018),0.4371839626763226,0.16193546771294018,0.22544270553285267(0.05255630564917108),0.22544270553285267,0.05255630564917108,0.2319047619047619(0.08539830057143286),0.2319047619047619,0.08539830057143286
v1_common_cv,v2,v1,psednc_matrix,psednc_matrix,rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_ipcarf_v1_common_cv_performance.csv,0.035087301587301584(0.009954656742154368),0.035087301587301584,0.009954656742154368,0.2710085460578881(0.04223209486455462),0.2710085460578881,0.04223209486455462,0.56543410817863(0.06264371740518856),0.56543410817863,0.06264371740518856,0.042258793969740895(0.028370242389753365),0.042258793969740895,0.028370242389753365,0.1294561899538032(0.061310049350373846),0.1294561899538032,0.061310049350373846,0.201014849766972(0.12562156808074398),0.201014849766972,0.12562156808074398,0.15030237463842955(0.07800902869059115),0.15030237463842955,0.07800902869059115,0.39063492063492067(0.09667617958248376),0.39063492063492067,0.09667617958248376
v1_common_cv,v2,v1,psednc_matrix,psednc_matrix,rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_rf_v1_common_cv_performance.csv,0.035087301587301584(0.009954656742154368),0.035087301587301584,0.009954656742154368,0.2710085460578881(0.04223209486455462),0.2710085460578881,0.04223209486455462,0.565431818748927(0.06264701024594567),0.565431818748927,0.06264701024594567,0.042258480845449344(0.028370478511358217),0.042258480845449344,0.028370478511358217,0.1294561899538032(0.061310049350373846),0.1294561899538032,0.061310049350373846,0.201014849766972(0.12562156808074398),0.201014849766972,0.12562156808074398,0.15030237463842955(0.07800902869059115),0.15030237463842955,0.07800902869059115,0.39063492063492067(0.09667617958248376),0.39063492063492067,0.09667617958248376
v1_common_cv,v2,v1,psednc_matrix,psednc_matrix,rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_rflda_v1_common_cv_performance.csv,0.03515873015873015(0.009910109495822878),0.03515873015873015,0.009910109495822878,0.2710085460578881(0.04223209486455462),0.2710085460578881,0.04223209486455462,0.565431818748927(0.06264701024594567),0.565431818748927,0.06264701024594567,0.042258480845449344(0.028370478511358217),0.042258480845449344,0.028370478511358217,0.1290593645569778(0.0614402064717271),0.1290593645569778,0.0614402064717271,0.201014849766972(0.12562156808074398),0.201014849766972,0.12562156808074398,0.15002485382436848(0.07808411527382927),0.15002485382436848,0.07808411527382927,0.39063492063492067(0.09667617958248376),0.39063492063492067,0.09667617958248376
v1_common_cv,v2,v1,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_ipcarf_v1_common_cv_performance.csv,0.058779761904761904(0.015500858570853761),0.058779761904761904,0.015500858570853761,0.17576885444159326(0.04924676819336351),0.17576885444159326,0.04924676819336351,0.6776920938037827(0.06806666321145692),0.6776920938037827,0.06806666321145692,0.042725252080525265(0.021830423547367573),0.042725252080525265,0.021830423547367573,0.14359415075984666(0.04247235399493495),0.14359415075984666,0.04247235399493495,0.4749534556495507(0.10428587422953561),0.4749534556495507,0.10428587422953561,0.21631055372766364(0.050052817837867546),0.21631055372766364,0.050052817837867546,0.15317460317460319(0.0868081292135481),0.15317460317460319,0.0868081292135481
