folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.12036965581108196,0.4617645520545908,0.8078985564076249,0.10933006813463428,0.06884462151394423,0.5217391304347826,0.12163874419259468,0.007177033492822967
fold2,0.1497865275142315,0.41614148941767726,0.8220833718315931,0.12534136825407238,0.06390395042602634,0.6021897810218978,0.11554621848739496,0.004901960784313725
fold3,0.09659586272489498,0.49668028481231874,0.8102054750639999,0.1193798904411715,0.08020618556701031,0.48443337484433374,0.13762603927118344,0.0171990171990172
fold4,0.1397717365459301,0.46270884145712027,0.8270176063879958,0.13166512360587987,0.06184987348889514,0.5365853658536586,0.11091504915553314,0.002457002457002457
fold5,0.12479194737259254,0.4277286108469991,0.8270837193514309,0.11438780127513332,0.07173980703392469,0.5806045340050378,0.12770083102493074,0.007371007371007371
fold6,0.0866093366093366,0.48832403088316995,0.7906287330922849,0.10353927413843844,0.07723384030418251,0.3997539975399754,0.12945628360884287,0.022113022113022112
fold7,0.12638304503662148,0.5408497270605319,0.815514885047345,0.0905052248346742,0.057258440952232766,0.4617314930991217,0.10188261351052048,0.0
fold8,0.13594753110882143,0.4492981818371774,0.8486066140599059,0.12884614924297838,0.07304643261608154,0.6224366706875754,0.1307487647282402,0.007371007371007371
fold9,0.1443290798129508,0.3792670088990895,0.8254677117801692,0.11020273462534437,0.07073398161715733,0.6328963051251489,0.12724658519051044,0.009828009828009828
fold10,0.11917562724014337,0.4610264967139694,0.8181059306776834,0.10404534867007931,0.06726596404215747,0.5425,0.11969111969111969,0.0023148148148148147
mean(std),0.12437603497766048(0.01913139341982193),0.45837892239826444(0.04273985832123046),0.8192612603700032(0.01440588742622737),0.11372429832224062(0.012190892857949552),0.06920830975616123(0.006616773426335743),0.5384870652611532(0.07081868030637532),0.12224522488608706(0.010052029820695916),0.008073287543101784(0.0065207342879623)
