experiment,version,source_version,target_version,feature_set,feature_key,model,n_samples,n_features,n_labels,performance_csv,prediction_dir,hamming_meanstd,hamming_mean,hamming_std,label_ranking_meanstd,label_ranking_mean,label_ranking_std,micro_roc_meanstd,micro_roc_mean,micro_roc_std,micro_auprc_meanstd,micro_auprc_mean,micro_auprc_std,precision_meanstd,precision_mean,precision_std,recall_meanstd,recall_mean,recall_std,fscore_meanstd,fscore_mean,fscore_std,accuracy_meanstd,accuracy_mean,accuracy_std
within_v1_cv,v1,v1,v1,kmer_matrix_k4,kmer_matrix_k4,ipcarf,353,256,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_kmer_matrix_k4_ipcarf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_kmer_matrix_k4/ipcarf,0.15703703703703703(0.038818475969085844),0.15703703703703703,0.038818475969085844,0.5008647675767843(0.04942089847464108),0.5008647675767843,0.04942089847464108,0.6725649468875737(0.02920168662983528),0.6725649468875737,0.02920168662983528,0.10064777553112259(0.02316128426437422),0.10064777553112259,0.02316128426437422,0.15654178060577986(0.020636044378237624),0.15654178060577986,0.020636044378237624,0.4985981911993953(0.11618158792701212),0.4985981911993953,0.11618158792701212,0.23496464232411682(0.027710620519162413),0.23496464232411682,0.027710620519162413,0.014126984126984127(0.022742769402399148),0.014126984126984127,0.022742769402399148
within_v1_cv,v1,v1,v1,kmer_matrix_k4,kmer_matrix_k4,rf,353,256,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_kmer_matrix_k4_rf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_kmer_matrix_k4/rf,0.14317283950617285(0.024243502550791822),0.14317283950617285,0.024243502550791822,0.49464934274517536(0.05589145713809625),0.49464934274517536,0.05589145713809625,0.6681368789492661(0.05905809644029732),0.6681368789492661,0.05905809644029732,0.10712403143105513(0.04735933705112951),0.10712403143105513,0.04735933705112951,0.15579546480753198(0.028257978977001014),0.15579546480753198,0.028257978977001014,0.46636183865753533(0.176222191643277),0.46636183865753533,0.176222191643277,0.23003630667824343(0.052222744551568834),0.23003630667824343,0.052222744551568834,0.011349206349206348(0.013901581501899999),0.011349206349206348,0.013901581501899999
within_v1_cv,v1,v1,v1,kmer_matrix_k4,kmer_matrix_k4,rflda,353,256,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_kmer_matrix_k4_rflda_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_kmer_matrix_k4/rflda,0.1299559082892416(0.02784797853672024),0.1299559082892416,0.02784797853672024,0.5607729231685428(0.07305289992617084),0.5607729231685428,0.07305289992617084,0.6507544964715846(0.04566026659298305),0.6507544964715846,0.04566026659298305,0.09642620893502105(0.03577304048031209),0.09642620893502105,0.03577304048031209,0.1601274004569937(0.030579673780514356),0.1601274004569937,0.030579673780514356,0.4029016385966533(0.1506256448659328),0.4029016385966533,0.1506256448659328,0.22489325269567298(0.05243742393101389),0.22489325269567298,0.05243742393101389,0.005634920634920634(0.011271238455756782),0.005634920634920634,0.011271238455756782
within_v1_cv,v1,v1,v1,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,ipcarf,353,410,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_ipcarf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix/ipcarf,0.15099823633156967(0.02797848622243392),0.15099823633156967,0.02797848622243392,0.4984624150232542(0.06048497764562967),0.4984624150232542,0.06048497764562967,0.6667573001988789(0.03503327136632368),0.6667573001988789,0.03503327136632368,0.1007111919783155(0.01649122536880289),0.1007111919783155,0.01649122536880289,0.1600991767143801(0.01945629345742533),0.1600991767143801,0.01945629345742533,0.4956942528212099(0.11128541211658262),0.4956942528212099,0.11128541211658262,0.23932695281619668(0.026242886242670686),0.23932695281619668,0.026242886242670686,0.016984126984126983(0.01862020456763538),0.016984126984126983,0.01862020456763538
within_v1_cv,v1,v1,v1,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,rf,353,410,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix/rf,0.13198412698412698(0.026643445711733108),0.13198412698412698,0.026643445711733108,0.5076406234786397(0.05565862244778267),0.5076406234786397,0.05565862244778267,0.6697348351032446(0.060139380782022335),0.6697348351032446,0.060139380782022335,0.10951890257309471(0.047260551563135106),0.10951890257309471,0.047260551563135106,0.16889763516382325(0.023279255005556877),0.16889763516382325,0.023279255005556877,0.46376160523266197(0.18705716973218295),0.46376160523266197,0.18705716973218295,0.24103058617271814(0.05244755427550365),0.24103058617271814,0.05244755427550365,0.03126984126984127(0.02375443362099103),0.03126984126984127,0.02375443362099103
within_v1_cv,v1,v1,v1,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,rflda,353,410,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rflda_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix/rflda,0.13717283950617282(0.03369184881635169),0.13717283950617282,0.03369184881635169,0.5318986318252735(0.07678166565036673),0.5318986318252735,0.07678166565036673,0.6525265841814936(0.054476402779700395),0.6525265841814936,0.054476402779700395,0.10257195627950137(0.05342524711462643),0.10257195627950137,0.05342524711462643,0.1555792851264064(0.02888818227576887),0.1555792851264064,0.02888818227576887,0.4229493811163059(0.1770188853256311),0.4229493811163059,0.1770188853256311,0.22179514060424083(0.05243694569610158),0.22179514060424083,0.05243694569610158,0.008492063492063492(0.012973459738881215),0.008492063492063492,0.012973459738881215
within_v1_cv,v1,v1,v1,psednc_matrix,psednc_matrix,ipcarf,353,18,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_psednc_matrix_ipcarf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_psednc_matrix/ipcarf,0.10053615520282186(0.01937130132020417),0.10053615520282186,0.01937130132020417,0.6101898105769282(0.045082886358037505),0.6101898105769282,0.045082886358037505,0.5889956243753325(0.03509443416877392),0.5889956243753325,0.03509443416877392,0.08157912760786301(0.022650970203226213),0.08157912760786301,0.022650970203226213,0.17938043407462173(0.034468259122526025),0.17938043407462173,0.034468259122526025,0.29524930122730486(0.09465864975938801),0.29524930122730486,0.09465864975938801,0.21746929597453538(0.04129316814048478),0.21746929597453538,0.04129316814048478,0.03111111111111111(0.029409661567240484),0.03111111111111111,0.029409661567240484
within_v1_cv,v1,v1,v1,psednc_matrix,psednc_matrix,rf,353,18,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_psednc_matrix_rf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_psednc_matrix/rf,0.10047266313932982(0.019424906379687287),0.10047266313932982,0.019424906379687287,0.6101898105769282(0.045082886358037505),0.6101898105769282,0.045082886358037505,0.589055367397103(0.03499914075906413),0.589055367397103,0.03499914075906413,0.08162256944440704(0.022605460239846706),0.08162256944440704,0.022605460239846706,0.1795573967515844(0.034559752561118026),0.1795573967515844,0.034559752561118026,0.29524930122730486(0.09465864975938801),0.29524930122730486,0.09465864975938801,0.2176105389123885(0.0414016395116171),0.2176105389123885,0.0414016395116171,0.03111111111111111(0.029409661567240484),0.03111111111111111,0.029409661567240484
within_v1_cv,v1,v1,v1,psednc_matrix,psednc_matrix,rflda,353,18,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_psednc_matrix_rflda_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_psednc_matrix/rflda,0.10079012345679013(0.019733802315266454),0.10079012345679013,0.019733802315266454,0.6101898105769282(0.045082886358037505),0.6101898105769282,0.045082886358037505,0.5889413254209279(0.034981362139890664),0.5889413254209279,0.034981362139890664,0.08150215891889698(0.02263716266812373),0.08150215891889698,0.02263716266812373,0.17902263739329566(0.03456200592101557),0.17902263739329566,0.03456200592101557,0.29524930122730486(0.09465864975938801),0.29524930122730486,0.09465864975938801,0.21712467748006903(0.04111778040871123),0.21712467748006903,0.04111778040871123,0.03111111111111111(0.029409661567240484),0.03111111111111111,0.029409661567240484
within_v1_cv,v1,v1,v1,rc_kmer_matrix_k4,rc_kmer_matrix_k4,ipcarf,353,136,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_rc_kmer_matrix_k4_ipcarf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_rc_kmer_matrix_k4/ipcarf,0.14422222222222222(0.022675842691727417),0.14422222222222222,0.022675842691727417,0.509515178522624(0.08419252671268634),0.509515178522624,0.08419252671268634,0.6658544544891587(0.04327481542732476),0.6658544544891587,0.04327481542732476,0.09541405848779558(0.029298261549733123),0.09541405848779558,0.029298261549733123,0.1601925100830884(0.030348660899238357),0.1601925100830884,0.030348660899238357,0.47216751192074924(0.1283763498259945),0.47216751192074924,0.1283763498259945,0.23759240777335267(0.048462276614449545),0.23759240777335267,0.048462276614449545,0.008412698412698412(0.01285224284444264),0.008412698412698412,0.01285224284444264
